stock_code,date,volume,open_price,close_price,turnover,turnover_rate,price_change_percentage,volume_next_day,volume_last_day,close_price_next_days,cumsum_return_next_days,volume_rate
2719,2024-07-30,24079,9.76,9.96,14125279.6,1.49,2.05,79811.0,20516.0,10.31,3.514056224899594,3.5793698845162014
2059,2024-07-31,205219,9.92,10.84,102339755.16,2.17,9.27,496431.0,39135.0,11.22,3.5055350553505606,4.063211570099119
600983,2024-07-25,5854,13.91,14.03,4016615.0,0.08,0.29,28587.0,11447.0,14.52,3.4925160370634374,3.3046644702618346
837403,2024-08-05,7420,15.26,14.92,6645117.89,2.68,-2.29,26503.0,6806.0,15.44,3.4852546916890055,3.7259946576690566
300059,2024-07-30,1048107,828.67,830.23,1087728514.0,0.78,-0.19,4844677.0,911294.0,859.1,3.4773496500969614,4.945059229836057
300148,2024-08-02,187135,14.85,14.68,45117760.0,2.33,-1.48,774689.0,231194.0,15.19,3.4741144414168925,3.7037307956178034
300793,2024-08-13,178872,19.6,20.78,222491029.0,5.42,5.7,387371.0,54557.0,21.5,3.464870067372468,3.3189620826889548
300976,2024-08-12,9792,85.65,85.92,44007551.0,2.55,0.25,36189.0,8951.0,88.88,3.445065176908745,3.8616016646214586
300032,2024-07-26,128893,13.55,13.99,38352153.0,1.6,3.25,406133.0,86798.0,14.47,3.4310221586847782,3.7658780384902477
603636,2024-07-26,54269,37.71,37.91,41510285.0,0.94,0.0,346725.0,80102.0,39.21,3.429174360327102,5.1607117607221795
603668,2024-08-12,25457,17.49,17.51,28534170.0,0.51,0.17,106224.0,23223.0,18.11,3.426613363792106,4.36417419884963
2961,2024-07-30,16538,11.71,11.73,17349948.87,0.37,0.26,81217.0,23906.0,12.13,3.410059676044334,4.016269409553951
300885,2024-08-12,64891,26.21,26.71,52577578.0,3.82,2.89,241924.0,40572.0,27.62,3.406963684013479,4.587845974417569
601995,2024-07-30,51248,29.0,29.07,145233905.0,0.18,0.14,274289.0,52862.0,30.06,3.4055727554179516,5.269215253097685
2416,2024-08-02,79161,28.33,28.16,71582670.16,0.65,-0.95,405210.0,124910.0,29.1,3.3380681818181865,3.9712649029014413
2024,2024-07-26,101904,135.1,135.75,12574743.78,0.11,0.48,355207.0,106834.0,140.28,3.337016574585636,3.403376481522291
1300,2024-07-30,21270,10.72,10.81,22768943.5,3.21,0.84,105449.0,17946.0,11.17,3.3302497687326493,5.3778559771521826
601198,2024-07-30,202658,9.59,9.67,166123548.0,0.63,0.73,780162.0,197000.0,9.99,3.3092037228541913,3.904148046579826
600191,2024-07-30,13135,7.72,7.89,6359394.0,0.27,1.94,60255.0,5981.0,8.15,3.295310519645129,6.304143126177024
2478,2024-07-23,49061,13.57,13.43,23434468.0,0.69,-1.03,220390.0,48509.0,13.87,3.2762472077438534,4.517577124116019
2872,2024-08-12,3887,6.13,6.13,1527394.5,0.18,4.79,231290.0,4945.0,6.33,3.2626427406199054,52.375452898550726
